Region,Pop.,Divisions,Major City,Language,Language2,Country Code,Secondary Code,Macroregion
Bajio,"18,474,000","Queretaro, Guanajuato, Jalisco, Aguascalientes",Guadalajara,Spanish,,MX,,North America
Canadian West,"11,856,332","Manitoba, Saskatchewan, Alberta, British Columbia, Yukon, Northwest Territories, Nunavut",Vancouver,English,,CA,,North America
Carolinas,"15,557,813","North Carolina, South Carolina",Charlotte,English,,US,,North America
Chesapeake Bay,"16,488,110","Delaware, Maryland, District of Columbia, Virginia","Washington, D.C.",English,,US,,North America
Chiapas & the Yucatan,"13,712,471","Belize, Quintana Roo, Yucatan, Campeche, Tabasco, Chiapas",Merida,Spanish,,MX,BZ,North America
Corn Belt,"19,090,686","South Dakota, Iowa, Nebraska, Missouri, Kansas, Oklahoma",Kansas City,English,,US,,North America
Deep South,"18,373,697","Tennessee, Alabama, Mississippi, Louisiana, Arkansas",Nashville,English,,US,,North America
Florida,"21,538,187",,Miami,English,,US,,North America
Georgia,"10,711,908",,Atlanta,English,,US,,North America
Gulf of California,"11,876,000","Baja California Sur, Baja California, Sonora, Sinaloa, Nayarit",Mexicali/Culiacan,Spanish,,MX,,North America
Illinois,"12,812,508",,Chicago,English,,US,,North America
Mojave & Sonoran Deserts,"15,121,105","Arizona, Nevada, Imperial (CA), Inyo (CA), Riverside (CA), San Bernardino (CA)",Phoenix,English,,US,,North America
New England,"15,116,205","Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut",Boston,English,,US,,North America
New York,"20,201,249",,New York,English,,US,,North America
North Central Mexico,"10,515,000","Chihuahua, Coahuila, Durango, Zacatecas",Juarez,Spanish,,MX,,North America
Northern California,"15,541,260","Alameda, Alpine, Amado, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Kings, Lake, Lassen, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada (CA), Placer, Plumas, Sacramento, San Benito, San Francisco, San Joaquin, San Mateo, Snata Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Yolo, Yuba",San Jose/San Francisco,English,,US,,North America
Ohio River Valley,"24,884,528","Ohio, West Virginia, Kentucky, Indiana",Cleveland,English,,US,,North America
Ontario,"14,223,942",,Toronto,English,,CA,,North America
Pacific Coast of Mexico,"13,218,000","Coilma, Michoacan, Guerrero, Oaxaca",Morelia/Acapulco,Spanish,,MX,,North America
Pacific Northwest,"12,675,928","Oregon, Washington, Alaska",Seattle,English,,US,,North America
Pennsylvania & New Jersey,"22,291,694","Pennsylvania, New Jersey",Philadelphia,English,,US,,North America
Quebec & Atlantic Canada,"10,911,707","Quebec, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, New Brunswick",Montreal,French,English,CA,,North America
Rocky Mountains,"12,663,034","New Mexico, Colorado, Utah, Wyoming, Montana, Idaho",Denver,English,,US,,North America
Sierra Madre Oriental,"12,167,000","Nuevo Leon, Tamauiplas, San Luis Potosi",Monterrey,Spanish,,MX,,North America
Southern California,"18,623,093","Kern, Los Angeles, Orange, San Diego, San Luis Obispo, Santa Barbara, Ventura",Los Angeles,English,,US,,North America
Texas,"29,145,505",,Dallas/Houston,English,,US,,North America
Trans-Mexico Volcano Belt East,"18,061,000","Morelos, Puebla, Tlaxcala, Veracruz",Puebla,Spanish,,MX,,North America
Upper Midwest,"22,456,637","Michigan, Wisconsin, Minnesota, North Dakota",Detroit,English,,US,,North America
Valley of Mexico,"29,522,000","Mexico City, Mexico (State), Hidalgo",Mexico City,Spanish,,MX,,North America
